,yearID,teamID,pitch10,nxtYear
0,1999,ANA,13,2000
1,1999,ARI,12,2000
2,1999,ATL,14,2000
3,1999,BAL,10,2000
4,1999,BOS,8,2000
5,1999,CHA,14,2000
6,1999,CHN,17,2000
7,1999,CIN,12,2000
8,1999,CLE,16,2000
9,1999,COL,10,2000
10,1999,DET,13,2000
11,1999,MIA,14,2000
12,1999,HOU,10,2000
13,1999,KCA,12,2000
14,1999,LAN,13,2000
15,1999,MIL,11,2000
16,1999,MIN,13,2000
17,1999,WAS,14,2000
18,1999,NYA,12,2000
19,1999,NYN,14,2000
20,1999,OAK,14,2000
21,1999,PHI,11,2000
22,1999,PIT,12,2000
23,1999,SDN,10,2000
24,1999,SEA,15,2000
25,1999,SFN,13,2000
26,1999,SLN,13,2000
27,1999,TBA,9,2000
28,1999,TEX,14,2000
29,1999,TOR,13,2000
30,2000,ANA,10,2001
31,2000,ARI,13,2001
32,2000,ATL,13,2001
33,2000,BAL,12,2001
34,2000,BOS,10,2001
35,2000,CHA,13,2001
36,2000,CHN,10,2001
37,2000,CIN,12,2001
38,2000,CLE,13,2001
39,2000,COL,17,2001
40,2000,DET,12,2001
41,2000,MIA,10,2001
42,2000,HOU,12,2001
43,2000,KCA,13,2001
44,2000,LAN,13,2001
45,2000,MIL,14,2001
46,2000,MIN,11,2001
47,2000,WAS,18,2001
48,2000,NYA,14,2001
49,2000,NYN,15,2001
50,2000,OAK,14,2001
51,2000,PHI,11,2001
52,2000,PIT,13,2001
53,2000,SDN,11,2001
54,2000,SEA,11,2001
55,2000,SFN,12,2001
56,2000,SLN,9,2001
57,2000,TBA,12,2001
58,2000,TEX,13,2001
59,2000,TOR,12,2001
60,2001,ANA,10,2002
61,2001,ARI,11,2002
62,2001,ATL,16,2002
63,2001,BAL,10,2002
64,2001,BOS,11,2002
65,2001,CHA,12,2002
66,2001,CHN,10,2002
67,2001,CIN,6,2002
68,2001,CLE,12,2002
69,2001,COL,17,2002
70,2001,DET,12,2002
71,2001,MIA,10,2002
72,2001,HOU,13,2002
73,2001,KCA,11,2002
74,2001,LAN,11,2002
75,2001,MIL,14,2002
76,2001,MIN,13,2002
77,2001,WAS,13,2002
78,2001,NYA,12,2002
79,2001,NYN,13,2002
80,2001,OAK,10,2002
81,2001,PHI,11,2002
82,2001,PIT,14,2002
83,2001,SDN,9,2002
84,2001,SEA,9,2002
85,2001,SFN,11,2002
86,2001,SLN,14,2002
87,2001,TBA,14,2002
88,2001,TEX,17,2002
89,2001,TOR,14,2002
90,2002,ANA,9,2003
91,2002,ARI,11,2003
92,2002,ATL,12,2003
93,2002,BAL,12,2003
94,2002,BOS,10,2003
95,2002,CHA,11,2003
96,2002,CHN,14,2003
97,2002,CIN,9,2003
98,2002,CLE,13,2003
99,2002,COL,13,2003
100,2002,DET,20,2003
101,2002,MIA,9,2003
102,2002,HOU,11,2003
103,2002,KCA,15,2003
104,2002,LAN,11,2003
105,2002,MIL,16,2003
106,2002,MIN,14,2003
107,2002,WAS,15,2003
108,2002,NYA,13,2003
109,2002,NYN,12,2003
110,2002,OAK,8,2003
111,2002,PHI,8,2003
112,2002,PIT,14,2003
113,2002,SDN,12,2003
114,2002,SEA,12,2003
115,2002,SFN,8,2003
116,2002,SLN,12,2003
117,2002,TBA,13,2003
118,2002,TEX,12,2003
119,2002,TOR,13,2003
120,2003,ANA,12,2004
121,2003,ARI,13,2004
122,2003,ATL,13,2004
123,2003,BAL,13,2004
124,2003,BOS,12,2004
125,2003,CHA,10,2004
126,2003,CHN,12,2004
127,2003,CIN,12,2004
128,2003,CLE,16,2004
129,2003,COL,13,2004
130,2003,DET,13,2004
131,2003,MIA,12,2004
132,2003,HOU,9,2004
133,2003,KCA,16,2004
134,2003,LAN,12,2004
135,2003,MIL,11,2004
136,2003,MIN,11,2004
137,2003,WAS,13,2004
138,2003,NYA,10,2004
139,2003,NYN,12,2004
140,2003,OAK,12,2004
141,2003,PHI,12,2004
142,2003,PIT,13,2004
143,2003,SDN,13,2004
144,2003,SEA,10,2004
145,2003,SFN,12,2004
146,2003,SLN,12,2004
147,2003,TBA,11,2004
148,2003,TEX,15,2004
149,2003,TOR,12,2004
150,2004,ANA,13,2005
151,2004,ARI,14,2005
152,2004,ATL,11,2005
153,2004,BAL,13,2005
154,2004,BOS,13,2005
155,2004,CHA,15,2005
156,2004,CHN,11,2005
157,2004,CIN,12,2005
158,2004,CLE,20,2005
159,2004,COL,16,2005
160,2004,DET,11,2005
161,2004,MIA,12,2005
162,2004,HOU,10,2005
163,2004,KCA,13,2005
164,2004,LAN,9,2005
165,2004,MIL,8,2005
166,2004,MIN,12,2005
167,2004,WAS,13,2005
168,2004,NYA,11,2005
169,2004,NYN,13,2005
170,2004,OAK,12,2005
171,2004,PHI,12,2005
172,2004,PIT,10,2005
173,2004,SDN,13,2005
174,2004,SEA,14,2005
175,2004,SFN,16,2005
176,2004,SLN,11,2005
177,2004,TBA,13,2005
178,2004,TEX,13,2005
179,2004,TOR,14,2005
180,2005,ARI,14,2006
181,2005,ATL,12,2006
182,2005,BAL,11,2006
183,2005,BOS,16,2006
184,2005,CHA,13,2006
185,2005,CHN,13,2006
186,2005,CIN,13,2006
187,2005,CLE,9,2006
188,2005,COL,15,2006
189,2005,DET,13,2006
190,2005,MIA,16,2006
191,2005,HOU,10,2006
192,2005,KCA,11,2006
193,2005,ANA,10,2006
194,2005,LAN,10,2006
195,2005,MIL,9,2006
196,2005,MIN,11,2006
197,2005,NYA,15,2006
198,2005,NYN,11,2006
199,2005,OAK,11,2006
200,2005,PHI,11,2006
201,2005,PIT,14,2006
202,2005,SDN,10,2006
203,2005,SEA,9,2006
204,2005,SFN,11,2006
205,2005,SLN,15,2006
206,2005,TBA,13,2006
207,2005,TEX,15,2006
208,2005,TOR,13,2006
209,2005,WAS,14,2006
210,2006,ARI,14,2007
211,2006,ATL,18,2007
212,2006,BAL,15,2007
213,2006,BOS,16,2007
214,2006,CHA,10,2007
215,2006,CHN,14,2007
216,2006,CIN,17,2007
217,2006,CLE,13,2007
218,2006,COL,13,2007
219,2006,DET,10,2007
220,2006,MIA,10,2007
221,2006,HOU,13,2007
222,2006,KCA,21,2007
223,2006,ANA,14,2007
224,2006,LAN,13,2007
225,2006,MIL,15,2007
226,2006,MIN,12,2007
227,2006,NYA,16,2007
228,2006,NYN,16,2007
229,2006,OAK,12,2007
230,2006,PHI,15,2007
231,2006,PIT,15,2007
232,2006,SDN,12,2007
233,2006,SEA,17,2007
234,2006,SFN,15,2007
235,2006,SLN,12,2007
236,2006,TBA,18,2007
237,2006,TEX,11,2007
238,2006,TOR,12,2007
239,2006,WAS,18,2007
240,2007,ARI,17,2008
241,2007,ATL,16,2008
242,2007,BAL,19,2008
243,2007,BOS,11,2008
244,2007,CHA,12,2008
245,2007,CHN,13,2008
246,2007,CIN,16,2008
247,2007,CLE,11,2008
248,2007,COL,18,2008
249,2007,DET,12,2008
250,2007,MIA,20,2008
251,2007,HOU,14,2008
252,2007,KCA,16,2008
253,2007,ANA,11,2008
254,2007,LAN,13,2008
255,2007,MIL,13,2008
256,2007,MIN,12,2008
257,2007,NYA,16,2008
258,2007,NYN,16,2008
259,2007,OAK,15,2008
260,2007,PHI,17,2008
261,2007,PIT,17,2008
262,2007,SDN,12,2008
263,2007,SEA,15,2008
264,2007,SFN,13,2008
265,2007,SLN,14,2008
266,2007,TBA,13,2008
267,2007,TEX,15,2008
268,2007,TOR,14,2008
269,2007,WAS,11,2008
270,2008,ARI,8,2009
271,2008,ATL,19,2009
272,2008,BAL,14,2009
